run_id,bank_id,seed_id,route_pair_id,matching_regime,retrieval_backend,slot_index,A_paper_id,B_paper_id,cost_units,lexical_relevance_gap,lexical_bm25_gap,length_z_gap,subfield_disagreement,date_gap_days,dense_gap,embedding_distance
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,9,ICLR2025_a2c3c86679300047c740c9900f19ddac,ICLR2025_a4b6ad6b48850c0c331d1259fc66a69c,36488,0.004971969972304743,0.11214975641402325,0.04473494269388023,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,10,ICLR2025_a415e3ce02c7894929df2f01f811b6ed,ICLR2025_571082ea18d30060177dfcaf662ff0e5,62913,0.027280428209548416,0.07925513802422413,0.22367471346940104,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,11,ICLR2025_aeafb73dfed3007ec5299be1604d6f99,ICLR2025_3926df1a00c9abf056df7bcf253d026a,451363,0.08090587127298011,0.31379436322685983,1.2973133381225257,1,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,12,ICLR2025_b9e472cd579c83e2f6aa3459f46aac28,ICLR2025_ee5bb72130c332c3d4bf8d231e617506,53677,0.007618185164655442,0.12351779939716634,0.1342048280816407,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,13,ICLR2025_bd18189308a4c45c7d71ca83acf3deaa,ICLR2025_4364fef031fdf7bfd9d1c9c56b287084,95448,0.011653179618602759,0.07022493620926512,0.4920843696326822,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,14,ICLR2025_c17f3035898a7044194fe45c5df6c6e8,ICLR2025_9ee3a664ccfeabc0da16ac6f1f1cfe59,202292,0.002301585283877021,0.018060403629917787,0.31314459885716145,1,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,15,ICLR2025_ce1710ff5b66f89b0d707bf1ec2850bf,ICLR2025_df29d63af05cb91d705cf06ba5945b9d,175919,0.01653657445898929,0.0,0.13420482808164064,1,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,16,ICLR2025_d2781f7df8825bbde6cef55adfbcd283,ICLR2025_b33ad9d46ab2a23b6783d954121d26e3,33189,0.003566553578179879,0.02039824479810204,0.1789397707755208,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,17,ICLR2025_d52b3500a00748169dd4dad80fb75357,ICLR2025_79cbf4f96c2bcc67267421154da689dd,92697,0.01651541844578315,0.07925513802422413,0.4473494269388021,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,18,ICLR2025_df96de50d1d206d7d693603481112104,ICLR2025_172fe9f8cc55953bad5c24774bf0142b,61021,0.00943041676851869,0.12351779939716645,0.1789397707755208,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,19,ICLR2025_e44337573fcac83f219c8effa4ebf90d,ICLR2025_c16a99558b0b4f6b10966ca9bdb98ade,35080,0.03228661980118506,0.014594231853179651,0.13420482808164058,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,20,ICLR2025_ffa8551239448e07ced48311bf88f6f3,ICLR2025_5a829e299ebc1c1615ddb09e98fb6ce8,124030,0.003627943093369397,0.007901871206405064,0.8052289684898437,0,,,
F0R-9f61bff4538465a7a96f,d504d4fe4c5a4b16582e5423dfd5ea49101488ad5f831d8984d1e3b257c6b633,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R3,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_17061a94c3c7fda5fa24bbdd1832fa99,ICLR2025_4537e2172096d966228d68c428392894,80686,0.023307960322523316,0.12908182943538732,0.26838361058927573,0,,,
F0R-9f61bff4538465a7a96f,5432ff04427e718ad4c1072a69ecf5c95e67d3c546b845fda0911676667d010b,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R4,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_460a1d8eac34125dad453b28d6d64446,ICLR2025_4537e2172096d966228d68c428392894,206148,0.004363652404753726,0.07369110798600337,0.2413187909627047,1,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_07c256a163a7559186ec1c71e95b9ec9,ICLR2025_af800ac69aea2fb5c4bcf8c6a5f3c79d,190025,0.006783043379637463,0.014209203110243429,0.2273265919369154,1,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,2,ICLR2025_1e1cf05517b959c1ce5934734efc421b,ICLR2025_2c2be72635379ec8600eea13df4743e3,186713,0.002760086124970418,0.1429870931527193,0.0,1,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,3,ICLR2025_759b54a7d1e57677ac6600422aacbcca,ICLR2025_23a4d89ef40d45b4ba1c70c47b856ac4,170944,0.005912334756352652,0.04821887283862436,0.04546531838738299,1,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,4,ICLR2025_7a8e7fd295aa04eac4b470ae27f8785c,ICLR2025_f655706547885b8e32ef46f1c067ece2,66990,0.003722038055969719,0.09907354261058221,0.2727919103242984,0,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,5,ICLR2025_8cb240de90aa20207db944c6c88a7cc0,ICLR2025_8c2de4155634a20d903c2ab0b1784886,204053,0.005842661237817556,0.07149354657635953,1.227563596459343,0,,,
F0R-9f61bff4538465a7a96f,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,6,ICLR2025_96f5de31e8e3d19cbcd3a7397b8dce57,ICLR2025_f02a7dd6bd3d038b51d092d99e74c638,261389,0.017471988986578292,0.17558296028577758,0.4091878654864476,1,,,
F0R-9f61bff4538465a7a96f,55273df5099e8f7a7e82a2c675d8b0fe6c59fd72c449d4881bbadc7790e15535,SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_29c8c615b3187ee995029284702d3f43,ICLR2025_b639c526a942618f1dba2b7a5fa0bac0,39861,0.0010244016507289788,0.1014536167760845,0.09425994795811121,0,,,
