seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_01025a4e79355bb37a10ba39605944b5,R1,20,1,20,1,54242,MEASURED,7bc123be9e6873a80076b120b4b3222c3a7c298972a13a9dd6b8398477df0107,19
SEED_ICLR2026_01025a4e79355bb37a10ba39605944b5,R2,20,4,69,4,64939.5,MEASURED,bf88bec475bfcebd5c31c9a323db4d6b28f2d6d814e088d079d3bcef2b5e548a,16
SEED_ICLR2026_01025a4e79355bb37a10ba39605944b5,R3,20,2,28,2,119061.0,MEASURED,8e01d302553327dc32fb20e453a531af242e5d7eb0c37f31358c484024e4e2c1,18
SEED_ICLR2026_01025a4e79355bb37a10ba39605944b5,R4,1,2,2,1,340054,MEASURED,4aa02210eaa577411748dd0f0b1a60b28e29bde0c383e0d69123c5ecc0a69ee0,1
SEED_ICLR2026_010ca5a0ccb09cfb554ed637758a08da,R1,15,3,43,3,180622,MEASURED,e879201eaeeceb04925bf40d468a646cd36d29e9f7d4ffe5b4d10281f4981ca9,12
SEED_ICLR2026_010ca5a0ccb09cfb554ed637758a08da,R2,15,9,117,9,176183,MEASURED,1924f6be308ad3e8178254092b56623cba028e91603208a4b2717339456c03b3,6
SEED_ICLR2026_010ca5a0ccb09cfb554ed637758a08da,R3,15,2,28,2,158344.0,MEASURED,b9274ff6917db3627843f40b6ce2ddaca7445379156189292781d27cd107daa5,13
SEED_ICLR2026_010ca5a0ccb09cfb554ed637758a08da,R4,3,2,6,2,280079.5,MEASURED,7943ad401241409d497dea3d5c2ab08e51c5996ad859a32b1bfa6e6cbb297ef0,1
SEED_ICLR2026_011bc51517c79fe93db32623515d5049,R1,15,0,0,0,,MEASURED,dca6100a6f0ca4dea3c29b2ab6b8b0783bd7412ba04e88a9db3188bc38c1b36a,15
SEED_ICLR2026_011bc51517c79fe93db32623515d5049,R2,15,3,42,3,197273,MEASURED,8911e128316432e0b3a31cfad5783e04a1ddb6ede7285bbbbfd5263021047e28,12
SEED_ICLR2026_011bc51517c79fe93db32623515d5049,R3,15,2,22,2,143159.5,MEASURED,84090bf8905f97990bf67991d7821f854ccbe9cf9cb0d8f7a0b225b9ea3380f8,13
SEED_ICLR2026_011bc51517c79fe93db32623515d5049,R4,0,2,0,0,,MEASURED,1a10da77ebefcbeba3e9e87cb6eda84dd4629bb59e02a5147ca0c56af10bf800,2
SEED_ICLR2026_014898b821e3ce966ae1db68cb8d9966,R1,30,1,26,1,10924,MEASURED,659489aeb49b434c11c60c5ea11e8e49620f539ed60a957a654796933740a418,29
SEED_ICLR2026_014898b821e3ce966ae1db68cb8d9966,R2,30,8,227,8,42503.5,MEASURED,afec52133b7d3defa9797c915e2593fc650be66f249051d5a83702d0eead9e84,22
SEED_ICLR2026_014898b821e3ce966ae1db68cb8d9966,R3,30,3,72,3,43528,MEASURED,9de756c81b0a418f8135b220d4e3d6a8c411d06d65333b5fd941e02ca74131e8,27
SEED_ICLR2026_014898b821e3ce966ae1db68cb8d9966,R4,1,3,2,1,284655,MEASURED,8b7cc6f9bdcd739ea0236d4b803321da05f682a09f969139cf8470225784227a,2
SEED_ICLR2026_01498f17142547dadb60999c39bd0a09,R1,20,3,48,3,142208,MEASURED,89bb412dc76feffa048fbb1d9cd09538668e8d8ef141b9fc10b44cfe303cb022,17
SEED_ICLR2026_01498f17142547dadb60999c39bd0a09,R2,20,15,271,15,70586,MEASURED,ebffb8ec2b7e531a5def3a76c06fbe913e922825429efc1cd9e69c8f02a5bd2e,5
SEED_ICLR2026_01498f17142547dadb60999c39bd0a09,R3,20,2,30,2,123504.0,MEASURED,b281fdc46f1aac5ff0f6aa3373b4d7cb9500f49f049a26cae1ccfd46d7ddcd22,18
SEED_ICLR2026_01498f17142547dadb60999c39bd0a09,R4,3,2,6,2,155675.5,MEASURED,d1daab2d6c1979c74b406f409e8b1082f501e34f9cf2325eae727e7a428f4acd,1
SEED_ICLR2026_015d6a156390d23c19d17651d60b3db6,R1,43,1,41,1,58717,MEASURED,18dff702eeefb9ff0c9da67fca67b58cec95d713ed680acf042a4b70af0f94d6,42
SEED_ICLR2026_015d6a156390d23c19d17651d60b3db6,R2,43,6,230,6,53153.0,MEASURED,82221f08eda9c34b79bdebdd738af78b63ab64e7f7232e63e040f910e0c15f15,37
SEED_ICLR2026_015d6a156390d23c19d17651d60b3db6,R3,43,1,35,1,59249,MEASURED,ea26a349c4d08cb5a92f234b6de81f000eca4d402e94b25fd88c4237f472f278,42
SEED_ICLR2026_015d6a156390d23c19d17651d60b3db6,R4,1,1,1,1,488671,MEASURED,85cf77911942dafa9f748d5c8b3486ec57c5973fba45605aba9f845566a028c8,0
SEED_ICLR2026_01825240552aa89ec228dfc37f19ba16,R1,29,10,256,10,119424.5,MEASURED,59709708c548cd390a6a727d20fea1b3b04a6558277f3f96f113f468bad9d852,19
